SMILES,PID,Polymer Class
*CC(*)(C)C(=O)OCCCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,P342044,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,P342045,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCOc1ccc(C(C)(C)c2ccc(OCCO)cc2)cc1,P342048,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc2c(c1)CCC2,P342049,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCCCCCCCCCCOc1ccc(-c2ccc(C(=O)Oc3ccc(OC(C)CCCCCC)c([N+](=O)[O-])c3)cc2)cc1,P342050,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCC1(CC)COCOC1,P342051,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)c(O)c1,P342053,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOCCOC,P342055,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCS(=O)(=O)O[Na],P342056,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCS(=O)(=O)O[Na],P342057,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCS(=O)(=O)O[Na],P342058,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCS(=O)(=O)O[Na],P342059,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1,P342060,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCC(C)(C)C1OCC(C)(C)CO1,P342062,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCC1(C)COCOC1,P342063,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCC1(C)COC(C)(C)OC1,P342064,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Nc1ccccc1,P342067,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Nc1ccccc1C(=O)O,P342068,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN1CCCC1=O,P342070,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCN1CCCC1=O,P342071,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCN1CCCC1=O,P342072,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCN1CCCC1=O,P342073,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)N1CCCC1=O,P342074,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOC(=O)C1CCC(=O)N1OC(C)=O,P342075,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOC(=O)C1CCC(=O)N1OC(=O)C(F)(F)F,P342076,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)Oc2ccccc2)cc1,P342077,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)Oc2ccc(C)cc2)cc1,P342078,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)Oc2ccc(OC)cc2)cc1,P342079,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccccc3)cc2)cc1,P342080,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)Oc2ccc(Oc3ccccc3)cc2)cc1,P342081,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)Oc2ccc(C(=O)c3ccccc3)cc2)cc1,P342082,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCC/C=C/CCCCCCCC,P342083,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C)cc2)cc1,P342084,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342085,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC1CC(C)CCC1C(C)C,P342086,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Oc1ccc(C(C)=O)c(O)c1,P342087,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Oc1ccc(/C(C)=N/NC(N)=O)c(O)c1,P342088,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,P342094,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,P342095,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,P342096,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,P342097,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,P342098,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(OC(=O)c2ccc(OCCCCCC)cc2)cc1,P342099,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,P342100,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(OC(=O)c2ccc(-c3ccc(OC)cc3)cc2)cc1,P342101,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(OC(=O)c2ccc(OC)c(Br)c2)cc1,P342102,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,P342103,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(OC(=O)c2ccc(OCCCCCC)cc2)cc1,P342104,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,P342105,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(OC(=O)c2ccc(-c3ccc(OC)cc3)cc2)cc1,P342106,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(OC(=O)c2ccc(OC)c(Br)c2)cc1,P342107,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,P342108,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCCCCC)cc2)cc1,P342109,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,P342110,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(-c3ccc(OC)cc3)cc2)cc1,P342111,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OC)c(Br)c2)cc1,P342112,"Polyacrylics, Polyvinyls"
*CC(*)(CC(=O)OCCCCCCCCCCCC)C(=O)OC,P342113,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(OC)cc2)cc1,P342114,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342115,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342116,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342117,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,P342121,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342122,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342123,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342124,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342125,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342126,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342127,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342128,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342129,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342130,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,P342131,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)NC(C)c1cccc2ccccc12,P342132,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)NC(C)c1ccccc1,P342133,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(C)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,P342134,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OC(Cl)C(Cl)(Cl)Cl,P342135,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Oc1c(F)c(F)c(F)c(F)c1F,P342136,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1c(F)c(F)c(F)c(F)c1F,P342137,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(OCCCCCCCCCC)cc2)cc1,P342138,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCCCCCOc1ccc(/C=N/c2ccc(OCCCCC)cc2)c(O)c1,P342139,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCC1(CC)COC(c2ccccc2)OC1,P342140,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342141,"Polyacrylics, Polyvinyls"
*CC(*)(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342142,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342149,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342150,"Polyacrylics, Polyvinyls"
*CC(*)(CCCCC)C(=O)OC,P342151,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCP(=O)(O)O,P342152,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC1(C)CCOC(=O)C1,P342153,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC1COC(c2ccccc2)O1,P342154,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NC(C)(C)CS(=O)(=O)O,P342157,"Polyacrylics, Polyvinyls"
*C(*)C(=O)OC1CCCCC1,P342158,"Polyacrylics, Polyvinyls"
*C(*)C(=O)OC(C)C,P342159,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCN(C)C,P342160,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,P342168,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCC,P342169,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCC,P342170,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCCCC,P342171,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCCCCCC,P342172,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCC,P342173,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCCCC,P342174,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCCCCCC,P342175,"Polyacrylics, Polyvinyls"
*CC(*)(Cl)C(=O)OCCOc1ccc(C(=O)Oc2ccc(OCCCC)cc2)cc1,P342176,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCC(F)(F)C(F)(F)C(F)(F)F,P342177,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342178,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342179,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342180,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(-c3ccccc3)cc2)cc1,P342181,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(C)c1ccc(/N=N/c2cc(Cl)ccc2Cl)cc1,P342182,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,P342186,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC1(C)C2CC3CC(C2)CC1C3,P342190,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(C)c1ccc(N(C)C)cc1,P342193,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCN(C)c1ccc(N(C)C)cc1,P342194,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCN(C)c1ccc(N(C)C)cc1,P342195,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1c(C(C)C)cccc1C(C)C,P342196,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,P342197,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,P342198,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCC)cc2)cc1,P342199,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(CCCCCCC)cc2)cc1,P342200,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(CCCCC)cc2)cc1,P342201,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOCCOCC1(C)COCCOCCOCCOC1,P342205,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOCCOCC1COCCOCCOCCO1,P342206,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,P342207,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC1COC(CP(=O)(OCC)OCC)O1,P342208,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC1COC(CP(=O)(OCC)OCC)OC1,P342209,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(C)=O)c(O)c1,P342210,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCC[Si](OC)(OC)OC,P342211,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,P342214,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1,P342215,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(/N=N/c2ccc(OCCCCCCCCCCCOC(=O)c3ccc4c(c3)OCCOCCOCCOCCO4)cc2)cc1,P342223,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1cccc(C(=O)Oc2ccc(C#N)cc2)c1,P342224,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(CC)c1ccc([N+](=O)[O-])cc1,P342226,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCN(CCO)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,P342227,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc(F)cc1F,P342228,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1c(F)cccc1F,P342230,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCOc1ccc(/N=N/c2ccc(OC(=O)c3ccc4c(c3)OCCOCCOCCOCCO4)cc2)cc1,P342236,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,P342237,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCOCCOC,P342238,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC1CCCCC1C(C)(C)C,P342239,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC(O)C1CC(C)(c2ccccc2)C1,P342241,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC(=O)c1ccccc1,P342242,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)OC(C)(C)C,P342243,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)OC(C)C,P342244,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)OCCCC,P342245,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)OCC,P342246,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)OCCOc1ccccc1,P342247,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)OCCCl,P342248,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)Oc1ccc(OC)cc1,P342249,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(C)Oc1ccccc1,P342250,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OC(CC)OCC,P342251,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOCCOCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342257,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOCCOCCOCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,P342258,"Polyacrylics, Polyvinyls"
*CC(C(C(=O)O[K])C(*)C(=O)O[K])N1CCCC1=O,P342259,"Polyacrylics, Polyvinyls"
*CC(C(C(=O)O[Na])C(*)C(=O)O[Na])N1CCCC1=O,P342260,"Polyacrylics, Polyvinyls"
*CC(C(C(=O)O[Li])C(*)C(=O)O[Li])N1CCCC1=O,P342261,"Polyacrylics, Polyvinyls"
*CCC(C)C(*)(C)C(=O)OC,P342262,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCC1CCCCC1,P342263,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCC1CCCCC1,P342264,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCC1CCCCC1,P342265,"Polyacrylics, Polyvinyls"
*CC(C)CC(*)(C)C(=O)OC,P342268,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOc1ccc(/N=N/c2ccc(C3OCC4(CO3)CC3C=CC4C3)cc2)cc1,P342277,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCOc1ccc(/N=N/c2ccc(C3OCC4(CO3)CC3C=CC4C3)cc2)cc1,P342278,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(C3OCC4(CO3)CC3C=CC4C3)cc2)cc1,P342279,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc(/N=N/c2ccc(C3OCC4(CO3)CC3C=CC4C3)cc2)cc1,P342280,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(/N=N/c2ccc(C3OCC4(CO3)CC3C=CC4C3)cc2)cc1,P342281,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC1(CC)COC1,P342282,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc(/C=C/C(=O)C2c3ccccc3C(=O)c3ccccc32)cc1,P342284,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc(/C=C/C(=O)Oc2ccc3oc(=O)ccc3c2)cc1,P342285,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccc(Cl)c(Cl)c1,P342286,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCSC,P342289,"Polyacrylics, Polyvinyls"
*CC(C(=O)Oc1ccccc1)C(C(=O)O)C(*)(C)C,P342290,"Polyacrylics, Polyvinyls"
*C([2H])([2H])C(*)(C(=O)OC([2H])([2H])C([2H])([2H])[2H])C([2H])([2H])[2H],P342295,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(CCCC)c1ccc(/N=N/c2ccc(S(=O)(=O)Nc3nccs3)cc2)cc1,P342296,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Oc1cc(C)cc(C)c1,P342299,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(C)c1ccc(/N=N/c2ccc(S(=O)(=O)Nc3cc(C)on3)cc2)cc1,P342306,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCN(CCCC)c1ccc(/N=N/c2ccc(S(=O)(=O)Nc3cc(C)on3)cc2)cc1,P342307,"Polyacrylics, Polyvinyls"
*C1C2CC(C(=O)NCC(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C(O)CO)C(C2)C1*,P342310,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Nc1ccc(/N=N/S(=O)(=O)O[Na])cc1,P342311,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342319,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P342320,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1,P342326,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC(O)C1CC(C)(c2ccc3c(c2)CCCC3)C1,P342327,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(OC)cc2)cc1,P342342,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(OCC)cc2)cc1,P342343,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(OCCC)cc2)cc1,P342344,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,P342345,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(OCCCCC)cc2)cc1,P342346,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCC(=O)Oc1ccc(OC(=O)c2ccc(OCCCCCC)cc2)cc1,P342347,"Polyacrylics, Polyvinyls"
*CC(*)(CC(=O)OC1CCC1)C(=O)OC1CCC1,P342348,"Polyacrylics, Polyvinyls"
*CC(*)(CC(=O)OC1CCCCCC1)C(=O)OC1CCCCCC1,P342349,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC1COC(=O)O1,P342350,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Oc1ccc(C(=O)OCc2ccccc2)cc1,P342351,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1ccsc1,P342352,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC1CCC1,P342353,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCc1csc(N/N=C/c2ccccc2O)n1,P342354,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)Oc1cccc2cccnc12,P342355,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Nc1ccccc1Cl,P342363,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Nc1cccc(Cl)c1,P342364,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)Nc1ccc(Cl)cc1,P342365,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC[N+](C)(C)C,P342367,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC[N+](C)(C)CCOC(O)=C(C#N)C#N,P342368,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCOP(=O)(O)OCC[N+](C)(C)C,P342369,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCCC[N+](C)(C)CCCS(=O)(=O)O,P342370,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC[N+](C)(C)CCCS(=O)(=O)O,P342371,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC[N+](CC)(CC)CCCS(=O)(=O)O,P342372,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)NCCC[N+](C)(C)CCCS(=O)(=O)O,P342373,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCC[N+](C)(CC)CC,P342374,"Polyacrylics, Polyvinyls"
*CC(*)C(=O)NCCC[N+](C)(C)C,P342375,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)NCCC[N+](C)(C)C,P342376,"Polyacrylics, Polyvinyls"
*CC(*)(C)C(=O)OCCCCCCCCCCCOC(=O)CCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C,P342377,"Polyacrylics, Polyvinyls"
