SMILES,PID,Polymer Class
*CC(*)c1ccccc1C(=O)Oc1ccccc1,P020027,"Polystyrenes, Polyvinyls"
*CC(*)c1ccccc1C(=O)OCCN(C)C,P020028,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,P020029,"Polystyrenes, Polyvinyls"
*CC(*)c1ccccc1OC,P020030,"Polystyrenes, Polyvinyls"
*CC(*)c1ccccc1Cl,P020032,"Polystyrenes, Polyvinyls"
*CC(*)c1ccccc1F,P020033,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(C)c1,P020035,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(CC)c1,P020036,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,P020037,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(Cl)c1,P020039,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(F)c1,P020040,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C)cc1,P020041,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CC)cc1,P020042,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)C)cc1,P020043,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCC)cc1,P020045,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)(C)C)cc1,P020046,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)CC)cc1,P020047,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCC)cc1,P020049,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCC)cc1,P020050,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCCC)cc1,P020051,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCCCC)cc1,P020052,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,P020053,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,P020054,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,P020055,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,P020056,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(-c2ccccc2)cc1,P020058,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCOCC)cc1,P020059,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C#N)cc1,P020060,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Cl)cc1,P020061,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Br)cc1,P020062,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P020063,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(/C(C)=N/O)cc1,P020064,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)(C)O)cc1,P020065,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)(O)CC)cc1,P020066,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)(O)CCC)cc1,P020067,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)(O)CCCC)cc1,P020068,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,P020069,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(O)CCN(C)C)cc1,P020070,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,P020071,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,P020072,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COC)cc1,P020074,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCO)cc1,P020075,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCC)cc1,P020076,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCCC)cc1,P020077,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCCCO)cc1,P020078,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COC(C)CC)cc1,P020079,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCCCCC)cc1,P020080,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCOCCCC)cc1,P020083,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)N(C)C)cc1,P020084,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,P020085,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,P020086,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,P020087,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,P020088,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OC)cc1,P020090,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OCC)cc1,P020091,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OCCC)cc1,P020092,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OC(C)C)cc1,P020093,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OCCCC)cc1,P020094,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,P020095,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,P020096,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CC)cc1,P020098,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CCC)cc1,P020099,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CCCC)cc1,P020100,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CCCCC)cc1,P020101,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,P020102,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,P020103,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,P020104,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,P020105,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(F)cc1,P020108,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(I)cc1,P020110,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(N(C)C)cc1,P020111,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(OC)cc1,P020112,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(OCC)cc1,P020113,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(OCCC)cc1,P020114,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(OCCCC)cc1,P020115,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(OCCC(C)C)cc1,P020116,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Oc2ccccc2)cc1,P020117,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,P020118,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,P020119,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc([Si](C)(C)C)cc1,P020120,"Polystyrenes, Polyvinyls"
*CC(*)c1c(Cl)cccc1Cl,P020121,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C)cc1C,P020122,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)C)cc1C(C)C,P020123,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(F)cc1C,P020124,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Cl)cc1C,P020125,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Cl)cc1Cl,P020126,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(C)ccc1C,P020130,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(C(C)(C)C)ccc1C,P020131,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(C(C)C)ccc1C(C)C,P020132,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Cl)ccc1Cl,P020133,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(F)ccc1F,P020134,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(C)ccc1F,P020135,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OCCCC,P020136,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OCC,P020137,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OC,P020138,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OCCC,P020139,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OC(C)C,P020140,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OCCCCC,P020141,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(Br)ccc1OCCC(C)C,P020142,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(C)cc(C)c1,P020143,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C)c(C)c1,P020144,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Cl)c(C)c1,P020145,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Cl)c(Cl)c1,P020146,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(Cl)c(F)c1,P020147,"Polystyrenes, Polyvinyls"
*CC(*)c1c(C)cc(C)cc1C,P020148,"Polystyrenes, Polyvinyls"
*CC(*)c1cc(C)c(C)cc1C,P020149,"Polystyrenes, Polyvinyls"
*CC(*)c1c(F)c(F)c(F)c(F)c1F,P020150,"Polystyrenes, Polyvinyls"
*CC(*)(C)c1ccccc1,P020151,"Polystyrenes, Polyvinyls"
*CC(*)(C)c1ccc(C(C)C)cc1,P020152,"Polystyrenes, Polyvinyls"
*C(F)(F)C(*)(F)c1ccccc1,P020153,Other polymers
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,P020154,Other polymers
*CC(*)c1cccc2ccccc12,P020156,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(C)=O)cc1,P020157,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,P020158,"Polystyrenes, Polyvinyls"
*CC(*)(C(=O)OC)c1ccccc1,P020177,"Polystyrenes, Polyacrylics, Polyvinyls"
*CC(*)(C)c1ccc(C)cc1,P020181,"Polystyrenes, Polyvinyls"
*C(c1ccccc1)C(*)[N+](=O)[O-],P020184,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,P020185,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,P020186,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,P020187,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,P020188,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc2ccccc2c1,P020189,"Polystyrenes, Polyvinyls"
*CC(*)c1ccncc1,P020190,"Polystyrenes, Polyvinyls"
*CC(*)c1cccc(C)n1,P020191,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C)nc1,P020192,"Polystyrenes, Polyvinyls"
*CC(*)n1cc2ccccc2n1,P020193,Polyvinyls
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,P020194,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(O)cc1,P020195,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(OC(C)=O)cc1,P020198,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(CCC)cc1,P024305,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,P024371,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCC(CC)CCCC)cc1,P024504,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,P024505,"Polystyrenes, Polyvinyls"
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,P024507,"Polystyrenes, Polyvinyls"
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,P024516,"Polystyrenes, Polyacrylics, Polyvinyls"
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,P024527,"Polystyrenes, Polyvinyls"
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],P029029,"Polystyrenes, Polyvinyls"
*CC(*)O,P030001,Polyvinyls
*CC(*)C=O,P030002,Polyvinyls
*CC(*)OC(=O)CCCCCCCCCCC,P030003,Polyvinyls
*CC(*)OC(=O)CCCCCCCCCCCCCCC,P030004,Polyvinyls
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,P030005,Polyvinyls
*CC(*)C(C)=O,P030006,Polyvinyls
*CC(*)C(=O)C(C)C,P030007,Polyvinyls
*CC(*)(C)C(C)=O,P030009,Polyvinyls
*CC(*)C#N,P030010,Polyvinyls
*CC(*)(C)C#N,P030011,Polyvinyls
*CC(*)c1ccccn1,P030014,"Polystyrenes, Polyvinyls"
*CC(*)n1c2ccccc2c2ccccc21,P030015,Polyvinyls
*CC(*)C[SiH3],P030016,Polyvinyls
*CC(*)C[Si](C)(C)C,P030017,Polyvinyls
*CC(*)OC,P030018,Polyvinyls
*CC(*)OCC,P030019,Polyvinyls
*CC(*)OCCCC,P030020,Polyvinyls
*CC(*)OCCCCC,P030021,Polyvinyls
*CC(*)OCCCCCC,P030022,Polyvinyls
*CC(*)OCCCCCCCCCC,P030023,Polyvinyls
*CC(*)OC(C)=O,P030024,Polyvinyls
*CC(*)OC(=O)CC,P030025,Polyvinyls
*CC(*)OC(=O)c1ccccc1,P030026,Polyvinyls
*CC(*)OCC(C)C,P030027,Polyvinyls
*CC(*)CCCCCCCCCO,P030031,Polyvinyls
*CC(*)CCN(C(C)C)C(C)C,P030032,Polyvinyls
*CC(*)CCCN(C(C)C)C(C)C,P030033,Polyvinyls
*CC(*)CCCN(CC(C)C)CC(C)C,P030034,Polyvinyls
*CC(*)O[N+](=O)[O-],P030035,Polyvinyls
*/C=C/C(C)C(*)C(=O)OC,P030036,Polyvinyls
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,P030037,Polyvinyls
*CC(*)CC[Si](C)(C)C,P030038,Polyvinyls
*CC(*)CCC[Si](C)(C)C,P030039,Polyvinyls
*CC(*)OC=O,P030040,Polyvinyls
*CC(*)OCc1ccccc1,P030041,Polyvinyls
*CC(*)OC(C)(C)C,P030043,Polyvinyls
*C(C)C(*)OCC(C)C,P030044,Polyvinyls
*CC(*)OC(C)C,P030045,Polyvinyls
*CC(*)(C)OC,P030046,Polyvinyls
*CC(*)OCC(C)(C)C,P030047,Polyvinyls
*CC(*)OC(C)CC,P030048,Polyvinyls
*CC(*)OC(=O)C(F)(F)F,P030049,Polyvinyls
*/C=C/C(C*)OC,P030051,Polyvinyls
*/C=C/CC(C)(CC*)C(=O)OC,P030052,Polyvinyls
*CC(*)CCc1ccccc1C,P030053,Polyvinyls
*CC(*)CCc1ccc(C)cc1,P030054,Polyvinyls
*CC(*)OCCCCCCCCCCCC,P030055,Polyvinyls
*C(C)C(*)OCCCC,P030056,Polyvinyls
*C(C)C(*)OC(C)(C)C,P030057,Polyvinyls
*C(C)C(*)OCC,P030058,Polyvinyls
*C(C)C(*)OC(C)C,P030059,Polyvinyls
*C(C)C(*)OC,P030060,Polyvinyls
*C(C)C(*)OCCC,P030061,Polyvinyls
*C1CC(*)(C#N)C1,P030062,Polyvinyls
*CC(*)Cc1cc(C)ccc1C,P030064,Polyvinyls
*CC(*)Cc1ccc(C)c(C)c1,P030065,Polyvinyls
*CC(*)Cc1cc(C)cc(C)c1,P030066,Polyvinyls
*CC(*)Cc1cccc(C)c1,P030067,Polyvinyls
*CC(*)Cc1ccccc1C,P030068,Polyvinyls
*CC(*)Cc1ccc(C)cc1,P030069,Polyvinyls
*C(C)C(*)O,P030070,Polyvinyls
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,P030071,Polyvinyls
*CC(*)C(=O)C(C)(C)C,P030072,Polyvinyls
*CC(*)C(=O)C1CCCCC1,P030074,Polyvinyls
*CC(*)OC(=O)CCCCCCCCCCCCC,P030075,Polyvinyls
*CC(*)C(=O)c1ccccc1O,P030076,Polyvinyls
*/C=C/C(C*)OC,P030077,Polyvinyls
*CC/C=C(/*)c1ccccc1,P030078,Polyvinyls
*C(*)O,P030079,Polyvinyls
*CC(*)OCC(CC)CCCC,P030080,Polyvinyls
*CC(*)SCCCC,P030081,Polyvinyls
*CC(*)OC1CCCCC1,P030082,Polyvinyls
*CC(*)SCC,P030083,Polyvinyls
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030084,Other polymers
